model,blank_stare,close_eyes,eye_blinking,tonic,clonic,arm_flexion,arm_straightening,figure4,oral_automatisms,limb_automatisms,face_pulling,head_turning,asynchronous_movement,pelvic_thrusting,arms_move_simultaneously,full_body_shaking,start,face_twitching,end
InternVL3_5-8B,28.21,26.32,22.08,14.34,19.32,13.93,12.28,10.96,20.76,18.51,20.41,20.02,21.55,15.44,16.04,20.4,21.43,20.02,25.45
Qwen2.5-VL-7B-Instruct,28.12,27.01,25.38,21.9,21.13,14.55,14.46,17.86,27.51,26.15,19.24,21.34,24.86,23.19,13.04,24.96,21.08,22.94,15.41
Qwen3-VL-8B-Instruct,27.86,27.09,23.44,13.68,22.14,12.19,9.08,12.08,21.42,19.53,13.94,15.72,19.91,18.81,16.74,15.72,19.88,29.19,28.1
InternVL3_5-38B,25.88,25.9,25.35,24.03,26.1,24.99,19.89,20.76,22.96,22.03,21.73,20.06,22.88,20.5,19.59,19.75,16.88,22.5,17.0
Qwen2.5-VL-32B-Instruct,11.4,17.69,13.48,12.64,18.27,11.68,10.19,12.63,13.34,12.71,10.16,9.56,17.67,9.1,8.93,10.16,10.14,13.15,11.89
Qwen3-VL-32B-Instruct,22.72,24.16,21.1,14.34,22.43,13.88,13.48,15.56,24.09,17.93,14.83,12.99,20.45,16.0,11.83,16.0,14.6,28.41,18.83
Qwen2.5-VL-72B-Instruct,19.11,19.61,15.59,11.48,18.63,11.09,9.2,12.43,19.93,14.1,11.2,11.71,15.84,12.38,7.64,13.0,12.32,18.96,18.63
Qwen2.5-Omni-7B,29.61,28.4,29.84,29.65,29.75,21.51,20.12,26.24,29.36,29.58,27.29,27.95,28.18,29.38,21.14,27.05,27.48,29.68,19.53
Qwen3-Omni-30B-A3B-Instruct,28.08,27.09,18.56,24.72,18.48,20.69,18.36,13.69,27.91,22.73,22.21,21.07,22.97,20.0,27.36,20.69,32.83,22.72,52.47
Lingshu-32B,40.04,39.86,38.33,33.57,32.04,59.99,60.91,45.25,42.51,35.69,50.2,57.21,39.77,43.12,46.68,42.63,43.76,40.4,63.31
